team,name,number,position,url,mugshot
Eastern,Hayden Joel Blankley,#0,,https://www.pba.ph/players/hayden-joel-blankley,https://dashboard.pba.ph/assets/players/Hayden_Blankley.jpg
Eastern,Cameron Clark,#21,C/F,https://www.pba.ph/players/cameron-clark,https://dashboard.pba.ph/assets/players/Cameron_Clark.jpg
Eastern,Kobey Ketavong Lam,#22,,https://www.pba.ph/players/kobey-ketavong-lam,https://dashboard.pba.ph/assets/players/Kobey_Ketavong_Lam.jpg
Eastern,Glen Robertson Yang,#11,G,https://www.pba.ph/players/glen-robertson-yang,https://dashboard.pba.ph/assets/players/Glen_Robertson_Yang.jpg
Terrafirma Dyip,Kemark Cariño,#33,C/F,https://www.pba.ph/players/kemark-cariño,https://dashboard.pba.ph/assets/players/49Carino.png
Terrafirma Dyip,Ahmad Didat Hanapi,#28,F/G,https://www.pba.ph/players/ahmad-didat-hanapi,https://dashboard.pba.ph/assets/players/49Hanapi.png
Terrafirma Dyip,Paolo Jose Hernandez,#19,F/G,https://www.pba.ph/players/paolo-jose-hernandez,https://dashboard.pba.ph/assets/players/49Hernandez.png
Terrafirma Dyip,Antonio Hester,#9,Forward,https://www.pba.ph/players/antonio-hester,https://dashboard.pba.ph/assets/players/49Hester.png
Terrafirma Dyip,Aljun Melecio,#11,G,https://www.pba.ph/players/aljun-melecio,https://dashboard.pba.ph/assets/players/49Melecio.png
Terrafirma Dyip,Tommy York Olivario,#6,G,https://www.pba.ph/players/tommy-york-olivario,https://dashboard.pba.ph/assets/players/49Olivario.png
Terrafirma Dyip,Brent Paraiso,#38,F/G,https://www.pba.ph/players/brent-paraiso,https://dashboard.pba.ph/assets/players/49Paraiso.png
Terrafirma Dyip,Stanley Jr. Pringle,#11,G,https://www.pba.ph/players/stanley-jr.-pringle,https://dashboard.pba.ph/assets/players/49Pringle.png
Terrafirma Dyip,Terrence Romeo,#7,G,https://www.pba.ph/players/terrence-romeo,https://dashboard.pba.ph/assets/players/49Romeo.png
Terrafirma Dyip,Mark Louie Sangalang,#66,C/F,https://www.pba.ph/players/mark-louie-sangalang,https://dashboard.pba.ph/assets/players/49M-Sangalang.png
Terrafirma Dyip,Christian Karl Standhardinger,#34,C/F,https://www.pba.ph/players/christian-karl-standhardinger,https://dashboard.pba.ph/assets/players/49Standhardinger.png
NLEX Road Warriors,Baser Amer,#9,G,https://www.pba.ph/players/baser-amer,https://dashboard.pba.ph/assets/players/49Amer.png
NLEX Road Warriors,Robert Lee Bolick Jr.,#8,G,https://www.pba.ph/players/robert-lee-bolick-jr.,https://dashboard.pba.ph/assets/players/49Bolick.png
NLEX Road Warriors,Dominic Fajardo,#9,F/G,https://www.pba.ph/players/dominic-fajardo,https://dashboard.pba.ph/assets/players/49D-fajardo.png
NLEX Road Warriors,Mycheal Gerome Henry,#4,C/F,https://www.pba.ph/players/mycheal-gerome-henry,https://dashboard.pba.ph/assets/players/49Henry.png
NLEX Road Warriors,Robert Conrad Herndon,#11,G,https://www.pba.ph/players/robert-conrad-herndon,https://dashboard.pba.ph/assets/players/49Herndon.png
NLEX Road Warriors,Jhan McHale Nermal,#29,F,https://www.pba.ph/players/jhan-mchale-nermal,https://dashboard.pba.ph/assets/players/49Nermal.png
